Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
24,42,32,1,0,75,4,bowled,1,v England,Jamshedpur,1-Mar-93
5,7,6,1,0,83.33,5,bowled,2,v England,Gwalior,4-Mar-93
34,42,30,2,1,113.33,5,caught,2,v England,Gwalior,5-Mar-93
3,16,9,0,0,33.33,5,caught,1,v Zimbabwe,Faridabad,19-Mar-93
8*,8,6,0,0,133.33,5,not out,2,v Zimbabwe,Guwahati,22-Mar-93
DNB,-,-,-,-,-,-,-,2,v Zimbabwe,Pune,25-Mar-93
21,-,39,1,0,53.84,5,caught,1,v Sri Lanka,Colombo (RPS),25-Jul-93
15,-,30,0,0,50,5,run out,2,v Sri Lanka,Colombo (RPS),12-Aug-93
25,-,39,1,0,64.1,5,caught,1,v Sri Lanka,Moratuwa,14-Aug-93
26*,-,30,4,0,86.66,5,not out,2,v Sri Lanka,Kanpur,7-Nov-93
2,-,8,0,0,25,5,lbw,2,v West Indies,Ahmedabad,16-Nov-93
3,-,25,0,0,12,4,caught,1,v South Africa,Mohali,22-Nov-93
15,-,31,3,0,48.38,5,caught,1,v South Africa,Kolkata,24-Nov-93
28*,-,43,2,0,65.11,5,not out,1,v West Indies,Kolkata,27-Nov-93
1,10,5,0,0,20,5,caught,1,v Sri Lanka,Rajkot,15-Feb-94
11*,25,18,0,0,61.11,5,not out,2,v Sri Lanka,Hyderabad (Deccan),18-Feb-94
52,83,63,3,0,82.53,5,run out,1,v Sri Lanka,Jalandhar,20-Feb-94
15,22,19,1,0,78.94,5,caught,2,v New Zealand,Napier,25-Mar-94
82,69,49,15,2,167.34,2,caught,2,v New Zealand,Auckland,27-Mar-94
63,91,75,9,0,84,2,lbw,1,v New Zealand,Wellington,30-Mar-94
40,34,26,8,0,153.84,2,bowled,1,v New Zealand,Christchurch,2-Apr-94
63,125,77,7,1,81.81,2,caught,1,v U.A.E.,Sharjah,13-Apr-94
6,13,5,0,0,120,2,caught,1,v Sri Lanka,Colombo (RPS),5-Sep-94
0,6,2,0,0,0,2,caught,2,v Sri Lanka,Colombo (SSC),17-Sep-94
0,3,4,0,0,0,2,caught,2,v West Indies,Faridabad,17-Oct-94
0,7,4,0,0,0,2,caught,2,v West Indies,Mumbai,20-Oct-94
8,28,24,0,0,33.33,3,caught,2,v West Indies,Chennai,23-Oct-94
115,184,136,9,3,84.55,2,run out,2,v New Zealand,Vadodara,28-Oct-94
34,53,47,7,0,72.34,2,bowled,2,v West Indies,Kanpur,30-Oct-94
62,80,54,13,0,114.81,2,bowled,1,v New Zealand,Delhi,3-Nov-94
66,101,68,8,0,97.05,2,caught,1,v West Indies,Kolkata,5-Nov-94
54,130,64,5,0,84.37,2,caught,1,v West Indies,Visakhapatnam,7-Nov-94
88,147,112,10,0,78.57,2,bowled,2,v West Indies,Cuttack,9-Nov-94
105,180,134,10,0,78.35,2,caught,1,v West Indies,Jaipur,11-Nov-94
13,30,15,3,0,86.66,2,caught,1,v New Zealand,Napier,16-Feb-95
30,30,20,5,0,150,2,caught,1,v New Zealand,Jamshedpur,15-Nov-95
39,79,51,4,0,76.47,2,caught,2,v New Zealand,Amritsar,18-Nov-95
7,27,11,1,0,63.63,2,caught,2,v New Zealand,Pune,24-Nov-95
65,96,59,9,1,110.16,2,run out,2,v New Zealand,Nagpur,26-Nov-95
1,14,4,0,0,25,2,bowled,2,v New Zealand,Mumbai (BS),29-Nov-95
127*,175,138,15,1,92.02,2,not out,2,v Kenya,Cuttack,18-Feb-96
70,137,91,8,0,76.92,2,run out,2,v West Indies,Gwalior,21-Feb-96
90,124,84,14,1,107.14,2,stumped,2,v Australia,Mumbai,27-Feb-96
137,198,137,8,5,100,2,run out,1,v Sri Lanka,Delhi,2-Mar-96
3,10,12,0,0,25,1,bowled,1,v Zimbabwe,Kanpur,6-Mar-96
31,103,59,3,0,52.54,2,bowled,1,v Pakistan,Bengaluru,9-Mar-96
65,96,88,9,0,73.86,1,stumped,2,v Sri Lanka,Kolkata,13-Mar-96
6,26,19,0,0,31.57,2,run out,1,v England,Leeds,25-May-96
1,18,11,0,0,9.09,2,caught,1,v England,Manchester,26-May-96
110,-,138,5,1,79.71,2,run out,1,v Sri Lanka,Colombo (RPS),28-Aug-96
11,20,8,2,0,137.5,2,caught,2,v South Africa,Hyderabad (Deccan),17-Oct-96
